Date,Adj Close
1997-10-20,4908.48
1997-10-21,4918.57
1997-10-22,4916.56
1997-10-23,4826.98
1997-10-24,4836.70
1997-10-27,4767.57
1997-10-28,4528.37
1997-10-30,4623.96
1997-10-31,4643.23
1997-11-03,4663.55
1997-11-04,4674.82
1997-11-05,4686.78
1997-11-06,4680.41
1997-11-07,4638.51
1997-11-10,4640.81
1997-11-11,4635.56
1997-11-12,4581.11
1997-11-13,4563.33
1997-11-14,4586.55
1997-11-17,4625.77
1997-11-18,4623.40
1997-11-19,4630.33
1997-11-20,4642.30
1997-11-21,4665.70
1997-11-24,4645.72
1997-11-25,4631.32
1997-11-26,4651.81
1997-11-27,4658.26
1997-11-28,4656.71
1997-12-01,4657.63
1997-12-02,4668.37
1997-12-03,4692.39
1997-12-04,4724.54
1997-12-05,4751.28
1997-12-08,4780.98
1997-12-09,4781.64
1997-12-10,4769.28
1997-12-11,4753.75
1997-12-12,4757.92
1997-12-15,4762.96
1997-12-16,4757.03
1997-12-17,4756.26
1997-12-18,4735.83
1997-12-19,4705.07
1997-12-22,4701.79
1997-12-23,4706.28
1997-12-24,4698.10
1997-12-29,4732.17
1997-12-30,4768.10
1997-12-31,4787.65
1998-01-02,4808.26
1998-01-05,4828.66
1998-01-06,4858.91
1998-01-07,4869.12
1998-01-08,4880.00
1998-01-09,4864.62
1998-01-12,4799.65
1998-01-13,4816.46
1998-01-14,4823.35
1998-01-15,4816.30
1998-01-16,4812.63
1998-01-19,4832.76
1998-01-20,4820.92
1998-01-21,4825.79
1998-01-22,4813.32
1998-01-23,4806.94
1998-01-26,4794.70
1998-01-27,4789.17
1998-01-28,4819.14
1998-01-29,4838.28
1998-01-30,4861.48
1998-02-02,4878.37
1998-02-03,4915.91
1998-02-04,4935.80
1998-02-05,4956.05
1998-02-06,4970.45
1998-02-09,4978.34
1998-02-10,4987.00
1998-02-11,4991.53
1998-02-12,4983.95
1998-02-13,4990.22
1998-02-16,4991.94
1998-02-17,5007.81
1998-02-18,5014.99
1998-02-19,5017.18
1998-02-20,5029.71
1998-02-23,5044.81
1998-02-24,5041.87
1998-02-25,5071.83
1998-02-26,5132.34
1998-02-27,5201.05
1998-03-02,5254.57
1998-03-03,5281.37
1998-03-04,5268.75
1998-03-05,5227.83
1998-03-06,5250.63
1998-03-09,5257.89
1998-03-10,5286.76
1998-03-11,5316.76
1998-03-12,5336.94
1998-03-13,5357.63
1998-03-16,5367.77
1998-03-17,5403.13
1998-03-18,5424.91
1998-03-19,5466.43
1998-03-20,5516.05
1998-03-23,5525.54
1998-03-24,5523.34
1998-03-25,5544.36
1998-03-26,5515.41
1998-03-27,5533.18
1998-03-30,5528.33
1998-03-31,5525.43
1998-04-01,5534.77
1998-04-02,5544.80
1998-04-03,5557.59
1998-04-06,5558.43
1998-04-07,5547.59
1998-04-08,5521.09
1998-04-09,5529.27
1998-04-14,5541.78
1998-04-15,5545.95
1998-04-16,5536.81
1998-04-17,5519.24
1998-04-20,5526.94
1998-04-21,5543.41
1998-04-22,5570.50
1998-04-23,5604.45
1998-04-24,5600.35
1998-04-27,5563.96
1998-04-28,5567.87
1998-04-29,5568.87
1998-04-30,5610.80
1998-05-01,5652.97
1998-05-05,5682.27
1998-05-06,5705.37
1998-05-07,5702.67
1998-05-08,5741.06
1998-05-11,5772.37
1998-05-12,5779.67
1998-05-13,5788.92
1998-05-14,5795.58
1998-05-15,5797.80
1998-05-18,5792.51
1998-05-19,5795.24
1998-05-20,5825.47
1998-05-21,5854.51
1998-05-22,5897.85
1998-05-26,5920.88
1998-05-27,5880.83
1998-05-28,5898.54
1998-05-29,5901.41
1998-06-01,5898.93
1998-06-02,5897.60
1998-06-03,5920.43
1998-06-04,5921.65
1998-06-05,5934.62
1998-06-08,5960.32
1998-06-09,5966.57
1998-06-10,5936.87
1998-06-11,5917.01
1998-06-12,5861.21
1998-06-15,5750.03
1998-06-16,5703.51
1998-06-17,5683.91
1998-06-18,5659.25
1998-06-19,5598.52
1998-06-22,5561.94
1998-06-23,5510.36
1998-06-24,5506.40
1998-06-25,5527.66
1998-06-26,5522.26
1998-06-29,5521.25
1998-06-30,5503.85
1998-07-01,5534.86
1998-07-02,5558.34
1998-07-03,5585.69
1998-07-06,5588.53
1998-07-07,5603.29
1998-07-08,5621.99
1998-07-09,5633.31
1998-07-10,5628.77
1998-07-13,5637.97
1998-07-14,5658.11
1998-07-15,5697.66
1998-07-16,5697.10
1998-07-17,5703.65
1998-07-20,5709.19
1998-07-21,5703.70
1998-07-22,5659.29
1998-07-23,5572.94
1998-07-24,5520.61
1998-07-27,5497.41
1998-07-28,5477.01
1998-07-29,5448.53
1998-07-30,5485.45
1998-07-31,5482.70
1998-08-03,5447.91
1998-08-04,5444.92
1998-08-05,5321.52
1998-08-06,5310.97
1998-08-07,5323.01
1998-08-10,5304.70
1998-08-11,5202.26
1998-08-12,5213.68
1998-08-13,5153.97
1998-08-14,5182.45
1998-08-17,5136.56
1998-08-18,5159.16
1998-08-19,5168.12
1998-08-20,5159.34
1998-08-21,5074.47
1998-08-24,5055.98
1998-08-25,5100.30
1998-08-26,5023.56
1998-08-27,4897.93
1998-08-28,4786.24
1998-09-01,4627.29
1998-09-02,4711.98
1998-09-03,4648.80
1998-09-04,4663.32
1998-09-07,4747.09
1998-09-08,4804.50
1998-09-09,4811.67
1998-09-10,4751.77
1998-09-11,4697.34
1998-09-14,4736.68
1998-09-15,4723.28
1998-09-16,4758.65
1998-09-17,4687.19
1998-09-18,4646.78
1998-09-21,4553.11
1998-09-22,4572.22
1998-09-23,4564.25
1998-09-24,4580.27
1998-09-25,4528.95
1998-09-28,4553.02
1998-09-29,4561.95
1998-09-30,4544.16
1998-10-01,4441.25
1998-10-02,4342.73
1998-10-05,4304.44
1998-10-06,4377.41
1998-10-07,4360.19
1998-10-08,4251.21
1998-10-09,4289.03
1998-10-12,4368.65
1998-10-13,4389.69
1998-10-14,4406.31
1998-10-15,4469.72
1998-10-16,4563.93
1998-10-19,4573.81
1998-10-20,4630.77
1998-10-21,4638.06
1998-10-22,4656.00
1998-10-23,4652.19
1998-10-26,4663.85
1998-10-27,4715.73
1998-10-28,4717.36
1998-10-29,4732.92
1998-10-30,4811.40
1998-11-02,4887.76
1998-11-03,4911.66
1998-11-04,4971.40
1998-11-05,4928.81
1998-11-06,4942.09
1998-11-09,4934.94
1998-11-10,4874.43
1998-11-11,4872.77
1998-11-12,4845.19
1998-11-13,4826.42
1998-11-16,4835.57
1998-11-17,4809.09
1998-11-18,4780.94
1998-11-19,4801.51
1998-11-20,4843.00
1998-11-23,4901.23
1998-11-24,4923.91
1998-11-25,4926.43
1998-11-26,4940.87
1998-11-27,4926.00
1998-11-30,4901.66
1998-12-01,4821.41
1998-12-02,4804.36
1998-12-03,4756.60
1998-12-04,4750.73
1998-12-07,4753.55
1998-12-08,4757.67
1998-12-09,4777.93
1998-12-10,4780.04
1998-12-11,4736.85
1998-12-14,4706.49
1998-12-15,4681.34
1998-12-16,4689.65
1998-12-17,4695.87
1998-12-18,4711.22
1998-12-21,4742.95
1998-12-22,4763.29
1998-12-23,4797.96
1998-12-24,4812.82
1998-12-29,4843.51
1998-12-30,4854.73
1999-01-04,4851.01
1999-01-05,4870.24
1999-01-06,4944.43
1999-01-07,4946.75
1999-01-08,4976.42
1999-01-12,4977.06
1999-01-13,4874.40
1999-01-14,4872.81
1999-01-15,4857.10
1999-01-18,4903.79
1999-01-19,4874.56
1999-01-20,4884.90
1999-01-21,4875.83
1999-01-22,4829.05
1999-01-25,4835.19
1999-01-26,4856.77
1999-01-27,4903.29
1999-01-28,4958.93
1999-01-29,5024.16
1999-02-01,5121.85
1999-02-02,5215.31
1999-02-03,5213.19
1999-02-04,5232.60
1999-02-05,5211.47
1999-02-08,5205.38
1999-02-09,5177.50
1999-02-10,5157.60
1999-02-11,5187.03
1999-02-12,5187.67
1999-02-15,5177.20
1999-02-16,5200.89
1999-02-17,5174.46
1999-02-18,5153.91
1999-02-19,5173.15
1999-02-22,5180.71
1999-02-23,5186.38
1999-02-24,5220.25
1999-02-25,5226.11
1999-02-26,5248.31
1999-03-01,5258.35
1999-03-02,5277.25
1999-03-03,5286.90
1999-03-04,5314.78
1999-03-05,5348.45
1999-03-08,5359.16
1999-03-09,5375.69
1999-03-10,5408.95
1999-03-11,5493.35
1999-03-12,5560.78
1999-03-15,5518.95
1999-03-16,5519.69
1999-03-17,5485.28
1999-03-18,5463.27
1999-03-19,5500.96
1999-03-22,5488.39
1999-03-23,5475.65
1999-03-24,5435.48
1999-03-25,5462.49
1999-03-26,5453.86
1999-03-29,5469.40
1999-03-30,5475.83
1999-03-31,5475.20
1999-04-01,5453.33
1999-04-06,5456.73
1999-04-07,5498.52
1999-04-08,5513.99
1999-04-09,5563.51
1999-04-12,5558.88
1999-04-13,5592.41
1999-04-14,5637.50
1999-04-15,5707.28
1999-04-16,5796.17
1999-04-19,5849.37
1999-04-20,5753.63
1999-04-21,5763.39
1999-04-22,5792.33
1999-04-23,5784.54
1999-04-26,5788.62
1999-04-27,5808.67
1999-04-28,5813.70
1999-04-29,5816.56
1999-04-30,5849.59
1999-05-04,5887.46
1999-05-05,5844.78
1999-05-06,5878.14
1999-05-07,5861.88
1999-05-10,5843.27
1999-05-11,5850.02
1999-05-12,5806.90
1999-05-13,5815.21
1999-05-14,5763.63
1999-05-17,5701.25
1999-05-18,5706.71
1999-05-19,5719.95
1999-05-20,5734.32
1999-05-21,5718.35
1999-05-24,5710.13
1999-05-25,5653.66
1999-05-26,5652.42
1999-05-27,5667.74
1999-05-28,5639.10
1999-06-01,5667.71
1999-06-02,5708.95
1999-06-03,5719.64
1999-06-04,5740.95
1999-06-07,5771.52
1999-06-08,5780.26
1999-06-09,5784.60
1999-06-10,5797.01
1999-06-11,5817.49
1999-06-14,5818.18
1999-06-15,5827.95
1999-06-16,5871.74
1999-06-17,5902.45
1999-06-18,5913.63
1999-06-21,5947.39
1999-06-22,5925.07
1999-06-23,5906.95
1999-06-24,5892.16
1999-06-25,5867.13
1999-06-28,5869.20
1999-06-29,5851.44
1999-06-30,5858.20
1999-07-01,5897.36
1999-07-02,5935.10
1999-07-05,5974.98
1999-07-06,6010.81
1999-07-07,6062.15
1999-07-08,6073.21
1999-07-09,6078.34
1999-07-12,6089.71
1999-07-13,6048.14
1999-07-14,6061.65
1999-07-15,6075.45
1999-07-16,6083.42
1999-07-19,6089.86
1999-07-20,6072.46
1999-07-21,6033.51
1999-07-22,6021.78
1999-07-23,6010.10
1999-07-26,5962.58
1999-07-27,5959.01
1999-07-28,5971.98
1999-07-29,5947.62
1999-07-30,5969.52
1999-08-02,5970.09
1999-08-03,5992.43
1999-08-04,6014.37
1999-08-05,5975.97
1999-08-06,5971.06
1999-08-09,5969.12
1999-08-10,5926.16
1999-08-11,5925.14
1999-08-12,5960.14
1999-08-13,5987.06
1999-08-16,6006.53
