Date,Adj Close,,
31/05/2019,"7,161.71",,
30/05/2019,"7,218.16",,
29/05/2019,"7,185.30",,
28/05/2019,"7,268.95",,
24/05/2019,"7,277.73",,
23/05/2019,"7,231.04",,
22/05/2019,"7,334.19",,
21/05/2019,"7,328.92",,
20/05/2019,"7,310.88",,
17/05/2019,"7,348.62",,
16/05/2019,"7,353.51",,
15/05/2019,"7,296.95",,
14/05/2019,"7,241.60",,
13/05/2019,"7,163.68",,
10/05/2019,"7,203.29",,
09/05/2019,"7,207.41",,
08/05/2019,"7,271.00",,
07/05/2019,"7,260.47",,
03/05/2019,"7,380.64",,
02/05/2019,"7,351.31",,
01/05/2019,"7,385.26",,
30/04/2019,"7,418.22",,
29/04/2019,"7,440.66",,
26/04/2019,"7,428.19",,
25/04/2019,"7,434.13",,
24/04/2019,"7,471.75",,
23/04/2019,"7,523.07",,
18/04/2019,"7,459.88",,
17/04/2019,"7,471.32",,
16/04/2019,"7,469.92",,
15/04/2019,"7,436.87",,
12/04/2019,"7,437.06",,
11/04/2019,"7,417.95",,
10/04/2019,"7,421.91",,
09/04/2019,"7,425.57",,
08/04/2019,"7,451.89",,
05/04/2019,"7,446.87",,
04/04/2019,"7,401.94",,
03/04/2019,"7,418.28",,
02/04/2019,"7,391.12",,
01/04/2019,"7,317.38",,
29/03/2019,"7,279.19",,
28/03/2019,"7,234.33",,
27/03/2019,"7,194.19",,
26/03/2019,"7,196.29",,
25/03/2019,"7,177.58",,
22/03/2019,"7,207.59",,
21/03/2019,"7,355.31",,
20/03/2019,"7,291.01",,
19/03/2019,"7,324.00",,
18/03/2019,"7,299.19",,
15/03/2019,"7,228.28",,
14/03/2019,"7,185.43",,
13/03/2019,"7,159.19",,
12/03/2019,"7,151.15",,
11/03/2019,"7,130.62",,
08/03/2019,"7,104.31",,
07/03/2019,"7,157.55",,
06/03/2019,"7,196.00",,
05/03/2019,"7,183.43",,
04/03/2019,"7,134.39",,
01/03/2019,"7,106.73",,
28/02/2019,"7,074.73",,
27/02/2019,"7,107.20",,
26/02/2019,"7,151.12",,
25/02/2019,"7,183.74",,
22/02/2019,"7,178.60",,
21/02/2019,"7,167.39",,
20/02/2019,"7,228.62",,
19/02/2019,"7,179.17",,
18/02/2019,"7,219.47",,
15/02/2019,"7,236.68",,
14/02/2019,"7,197.01",,
13/02/2019,"7,190.84",,
12/02/2019,"7,133.14",,
11/02/2019,"7,129.11",,
08/02/2019,"7,071.18",,
07/02/2019,"7,093.58",,
06/02/2019,"7,173.09",,
05/02/2019,"7,177.37",,
04/02/2019,"7,034.13",,
01/02/2019,"7,020.22",,
31/01/2019,"6,968.85",,
30/01/2019,"6,941.63",,
29/01/2019,"6,833.93",,
28/01/2019,"6,747.10",,
25/01/2019,"6,809.22",,
24/01/2019,"6,818.95",,
23/01/2019,"6,842.88",,
22/01/2019,"6,901.39",,
21/01/2019,"6,970.59",,
18/01/2019,"6,968.33",,
17/01/2019,"6,834.92",,
16/01/2019,"6,862.68",,
15/01/2019,"6,895.02",,
14/01/2019,"6,855.02",,
11/01/2019,"6,918.18",,
10/01/2019,"6,942.87",,
09/01/2019,"6,906.63",,
08/01/2019,"6,861.60",,
07/01/2019,"6,810.88",,
04/01/2019,"6,837.42",,
03/01/2019,"6,692.66",,
02/01/2019,"6,734.23",,
31/12/2018,"6,728.13",,
28/12/2018,"6,733.97",,
27/12/2018,"6,584.68",,
24/12/2018,"6,685.99",,
21/12/2018,"6,721.17",,
20/12/2018,"6,711.93",,
19/12/2018,"6,765.94",,
18/12/2018,"6,701.59",,
17/12/2018,"6,773.24",,
14/12/2018,"6,845.17",,
13/12/2018,"6,877.50",,
12/12/2018,"6,880.19",,
11/12/2018,"6,806.94",,
10/12/2018,"6,721.54",,
07/12/2018,"6,778.11",,
06/12/2018,"6,704.05",,
05/12/2018,"6,921.84",,
04/12/2018,"7,022.76",,
03/12/2018,"7,062.41",,
30/11/2018,"6,980.24",,
29/11/2018,"7,038.95",,
28/11/2018,"7,004.52",,
27/11/2018,"7,016.85",,
26/11/2018,"7,036.00",,
23/11/2018,"6,952.86",,
22/11/2018,"6,960.32",,
21/11/2018,"7,050.23",,
20/11/2018,"6,947.92",,
19/11/2018,"7,000.89",,
16/11/2018,"7,013.88",,
15/11/2018,"7,038.01",,
14/11/2018,"7,033.79",,
13/11/2018,"7,053.76",,
12/11/2018,"7,053.08",,
09/11/2018,"7,105.34",,
08/11/2018,"7,140.68",,
07/11/2018,"7,117.28",,
06/11/2018,"7,040.68",,
05/11/2018,"7,103.84",,
02/11/2018,"7,094.12",,
01/11/2018,"7,114.66",,
31/10/2018,"7,128.10",,
30/10/2018,"7,035.85",,
29/10/2018,"7,026.32",,
26/10/2018,"6,939.56",,
25/10/2018,"7,004.10",,
24/10/2018,"6,962.98",,
23/10/2018,"6,955.21",,
22/10/2018,"7,042.80",,
19/10/2018,"7,049.80",,
18/10/2018,"7,026.99",,
17/10/2018,"7,054.60",,
16/10/2018,"7,059.40",,
15/10/2018,"7,029.22",,
12/10/2018,"6,995.91",,
11/10/2018,"7,006.93",,
10/10/2018,"7,145.74",,
09/10/2018,"7,237.59",,
08/10/2018,"7,233.33",,
05/10/2018,"7,318.54",,
04/10/2018,"7,418.34",,
03/10/2018,"7,510.28",,
02/10/2018,"7,474.55",,
01/10/2018,"7,495.67",,
28/09/2018,"7,510.20",,
27/09/2018,"7,545.44",,
26/09/2018,"7,511.49",,
25/09/2018,"7,507.56",,
24/09/2018,"7,458.41",,
21/09/2018,"7,490.23",,
20/09/2018,"7,367.32",,
19/09/2018,"7,331.12",,
18/09/2018,"7,300.23",,
17/09/2018,"7,302.10",,
14/09/2018,"7,304.04",,
13/09/2018,"7,281.57",,
12/09/2018,"7,313.36",,
11/09/2018,"7,273.54",,
10/09/2018,"7,279.30",,
07/09/2018,"7,277.70",,
06/09/2018,"7,318.96",,
05/09/2018,"7,383.28",,
04/09/2018,"7,457.86",,
03/09/2018,"7,504.60",,
31/08/2018,"7,432.42",,
30/08/2018,"7,516.03",,
29/08/2018,"7,563.21",,
28/08/2018,"7,617.22",,
24/08/2018,"7,577.49",,
23/08/2018,"7,563.22",,
22/08/2018,"7,574.24",,
21/08/2018,"7,565.70",,
20/08/2018,"7,591.26",,
17/08/2018,"7,558.59",,
16/08/2018,"7,556.38",,
15/08/2018,"7,497.87",,
14/08/2018,"7,611.64",,
13/08/2018,"7,642.45",,
10/08/2018,"7,667.01",,
09/08/2018,"7,741.77",,
08/08/2018,"7,776.65",,
07/08/2018,"7,718.48",,
06/08/2018,"7,663.78",,
03/08/2018,"7,659.10",,
02/08/2018,"7,575.93",,
01/08/2018,"7,652.91",,
31/07/2018,"7,748.76",,
30/07/2018,"7,700.85",,
27/07/2018,"7,701.31",,
26/07/2018,"7,663.17",,
25/07/2018,"7,658.26",,
24/07/2018,"7,709.05",,
23/07/2018,"7,655.79",,
20/07/2018,"7,678.79",,
19/07/2018,"7,683.97",,
18/07/2018,"7,676.28",,
17/07/2018,"7,626.33",,
16/07/2018,"7,600.45",,
13/07/2018,"7,661.87",,
12/07/2018,"7,651.33",,
11/07/2018,"7,591.96",,
10/07/2018,"7,692.04",,
09/07/2018,"7,687.99",,
06/07/2018,"7,617.70",,
05/07/2018,"7,603.22",,
04/07/2018,"7,573.09",,
03/07/2018,"7,593.29",,
02/07/2018,"7,547.85",,
29/06/2018,"7,636.93",,
28/06/2018,"7,615.63",,
27/06/2018,"7,621.69",,
26/06/2018,"7,537.92",,
25/06/2018,"7,509.84",,
22/06/2018,"7,682.27",,
21/06/2018,"7,556.44",,
20/06/2018,"7,627.40",,
19/06/2018,"7,603.85",,
18/06/2018,"7,631.33",,
15/06/2018,"7,633.91",,
14/06/2018,"7,765.79",,
13/06/2018,"7,703.71",,
12/06/2018,"7,703.81",,
11/06/2018,"7,737.43",,
08/06/2018,"7,681.07",,
07/06/2018,"7,704.40",,
06/06/2018,"7,712.37",,
05/06/2018,"7,686.80",,
04/06/2018,"7,741.29",,
01/06/2018,"7,701.77",,
31/05/2018,"7,678.20",,
30/05/2018,"7,689.57",,
29/05/2018,"7,632.64",,
25/05/2018,"7,730.28",,
24/05/2018,"7,716.74",,
23/05/2018,"7,788.44",,
22/05/2018,"7,877.45",,
21/05/2018,"7,859.17",,
18/05/2018,"7,778.79",,
17/05/2018,"7,787.97",,
16/05/2018,"7,734.20",,
15/05/2018,"7,722.98",,
14/05/2018,"7,710.98",,
11/05/2018,"7,724.55",,
10/05/2018,"7,700.97",,
09/05/2018,"7,662.52",,
08/05/2018,"7,565.75",,
04/05/2018,"7,567.14",,
03/05/2018,"7,502.69",,
02/05/2018,"7,543.20",,
01/05/2018,"7,520.36",,
30/04/2018,"7,509.30",,
27/04/2018,"7,502.21",,
26/04/2018,"7,421.43",,
25/04/2018,"7,379.32",,
24/04/2018,"7,425.40",,
23/04/2018,"7,398.87",,
20/04/2018,"7,368.17",,
19/04/2018,"7,328.92",,
18/04/2018,"7,317.34",,
17/04/2018,"7,226.05",,
16/04/2018,"7,198.20",,
13/04/2018,"7,264.56",,
12/04/2018,"7,258.34",,
11/04/2018,"7,257.14",,
10/04/2018,"7,266.75",,
09/04/2018,"7,194.75",,
06/04/2018,"7,183.64",,
05/04/2018,"7,199.50",,
04/04/2018,"7,034.01",,
03/04/2018,"7,030.46",,
29/03/2018,"7,056.61",,
28/03/2018,"7,044.74",,
27/03/2018,"7,000.14",,
26/03/2018,"6,888.69",,
23/03/2018,"6,921.94",,
22/03/2018,"6,952.59",,
21/03/2018,"7,038.97",,
20/03/2018,"7,061.27",,
19/03/2018,"7,042.93",,
16/03/2018,"7,164.14",,
15/03/2018,"7,139.76",,
14/03/2018,"7,132.69",,
13/03/2018,"7,138.78",,
12/03/2018,"7,214.76",,
09/03/2018,"7,224.51",,
08/03/2018,"7,203.24",,
07/03/2018,"7,157.84",,
06/03/2018,"7,146.75",,
05/03/2018,"7,115.98",,
02/03/2018,"7,069.90",,
01/03/2018,"7,175.64",,
28/02/2018,"7,231.91",,
27/02/2018,"7,282.45",,
26/02/2018,"7,289.58",,
23/02/2018,"7,244.41",,
22/02/2018,"7,252.39",,
21/02/2018,"7,281.57",,
20/02/2018,"7,246.77",,
19/02/2018,"7,247.66",,
16/02/2018,"7,294.70",,
15/02/2018,"7,234.81",,
14/02/2018,"7,213.97",,
13/02/2018,"7,168.01",,
12/02/2018,"7,177.06",,
09/02/2018,"7,092.43",,
08/02/2018,"7,170.69",,
07/02/2018,"7,279.42",,
06/02/2018,"7,141.40",,
05/02/2018,"7,334.98",,
02/02/2018,"7,443.43",,
01/02/2018,"7,490.39",,
31/01/2018,"7,533.55",,
30/01/2018,"7,587.98",,
29/01/2018,"7,671.53",,
26/01/2018,"7,665.54",,
25/01/2018,"7,615.84",,
24/01/2018,"7,643.43",,
23/01/2018,"7,731.83",,
22/01/2018,"7,715.44",,
19/01/2018,"7,730.79",,
18/01/2018,"7,700.96",,
17/01/2018,"7,725.43",,
16/01/2018,"7,755.93",,
15/01/2018,"7,769.14",,
12/01/2018,"7,778.64",,
11/01/2018,"7,762.94",,
10/01/2018,"7,748.51",,
09/01/2018,"7,731.02",,
08/01/2018,"7,696.51",,
05/01/2018,"7,724.22",,
04/01/2018,"7,695.88",,
03/01/2018,"7,671.11",,
02/01/2018,"7,648.10",,
29/12/2017,"7,687.77",,
28/12/2017,"7,622.88",,
27/12/2017,"7,620.68",,
22/12/2017,"7,592.66",,
21/12/2017,"7,603.98",,
20/12/2017,"7,525.22",,
19/12/2017,"7,544.09",,
18/12/2017,"7,537.01",,
15/12/2017,"7,490.57",,
14/12/2017,"7,448.12",,
13/12/2017,"7,496.51",,
12/12/2017,"7,500.41",,
