date,price
1974-08-08,0.625
1974-08-09,0.6243
1974-08-12,0.6047
1974-08-13,0.624
1974-08-14,0.604
1974-08-15,0.599
1974-08-16,0.5935
1974-08-19,0.582
1974-08-20,0.602
1974-08-21,0.622
1974-08-22,0.642
1974-08-23,0.6615
1974-08-26,0.7015
1974-08-27,0.6942
1974-08-28,0.6594
1974-08-29,0.6381
1974-08-30,0.6048
1974-09-03,0.5735
1974-09-04,0.5645
1974-09-05,0.556
1974-09-06,0.5615
1974-09-09,0.5625
1974-09-10,0.565
1974-09-11,0.548
1974-09-12,0.538
1974-09-13,0.518
1974-09-16,0.5017
1974-09-17,0.5217
1974-09-18,0.5045
1974-09-19,0.5245
1974-09-20,0.5215
1974-09-23,0.5415
1974-09-24,0.549
1974-09-25,0.569
1974-09-26,0.5615
1974-09-27,0.562
1974-09-30,0.542
1974-10-01,0.5445
1974-10-02,0.5525
1974-10-03,0.565
1974-10-04,0.564
1974-10-07,0.565
1974-10-08,0.585
1974-10-09,0.5805
1974-10-10,0.5845
1974-10-11,0.5844
1974-10-15,0.5962
1974-10-16,0.5932
1974-10-17,0.5858
1974-10-18,0.5835
1974-10-21,0.574
1974-10-22,0.58
1974-10-23,0.58
1974-10-24,0.5725
1974-10-25,0.5665
1974-10-28,0.579
1974-10-29,0.57
1974-10-30,0.5759
1974-10-31,0.576
1974-11-01,0.572
1974-11-04,0.572
1974-11-06,0.58
1974-11-07,0.5873
1974-11-08,0.5965
1974-11-12,0.6165
1974-11-13,0.5997
1974-11-14,0.609
1974-11-15,0.608
1974-11-18,0.6185
1974-11-19,0.632
1974-11-20,0.6205
1974-11-21,0.6135
1974-11-22,0.6075
1974-11-25,0.5991
1974-11-26,0.5979
1974-11-27,0.6089
1974-11-29,0.6144
1974-12-02,0.6135
1974-12-03,0.6077
1974-12-04,0.599
1974-12-05,0.579
1974-12-06,0.5758
1974-12-09,0.587
1974-12-10,0.579
1974-12-11,0.5825
1974-12-12,0.5958
1974-12-13,0.5913
1974-12-16,0.6023
1974-12-17,0.5935
1974-12-18,0.5968
1974-12-19,0.6
1974-12-20,0.6015
1974-12-23,0.6
1974-12-27,0.6013
1974-12-30,0.596
1974-12-31,0.5962
1975-01-02,0.5959
1975-01-03,0.5941
1975-01-06,0.5865
1975-01-07,0.584
1975-01-08,0.5825
1975-01-09,0.576
1975-01-10,0.5728
1975-01-13,0.5568
1975-01-14,0.565
1975-01-15,0.5535
1975-01-16,0.5465
1975-01-17,0.549
1975-01-20,0.546
1975-01-21,0.5383
1975-01-22,0.537
1975-01-23,0.5405
1975-01-24,0.5605
1975-01-27,0.5523
1975-01-28,0.5498
1975-01-29,0.553
1975-01-30,0.552
1975-01-31,0.5475
1975-02-03,0.5518
1975-02-04,0.549
1975-02-05,0.5396
1975-02-06,0.54
1975-02-07,0.5387
1975-02-10,0.537
1975-02-11,0.544
1975-02-13,0.564
1975-02-14,0.557
1975-02-18,0.537
1975-02-19,0.522
1975-02-20,0.5225
1975-02-21,0.5275
1975-02-24,0.5205
1975-02-25,0.523
1975-02-26,0.5187
1975-02-27,0.516
1975-02-28,0.514
1975-03-03,0.5075
1975-03-04,0.5185
1975-03-05,0.513
1975-03-06,0.5145
1975-03-07,0.522
1975-03-10,0.523
1975-03-11,0.523
1975-03-12,0.516
1975-03-13,0.515
1975-03-14,0.5085
1975-03-17,0.502
1975-03-18,0.5092
1975-03-19,0.508
1975-03-20,0.506
1975-03-21,0.5098
1975-03-24,0.51
1975-03-25,0.514
1975-03-26,0.5162
1975-03-27,0.519
1975-03-31,0.519
1975-04-01,0.5105
1975-04-02,0.4943
1975-04-03,0.5005
1975-04-04,0.4885
1975-04-07,0.4915
1975-04-08,0.484
1975-04-09,0.4775
1975-04-10,0.47
1975-04-11,0.463
1975-04-14,0.469
1975-04-15,0.475
1975-04-16,0.47
1975-04-17,0.475
1975-04-18,0.4795
1975-04-21,0.49
1975-04-22,0.4795
1975-04-23,0.4735
1975-04-24,0.468
1975-04-25,0.4739
1975-04-28,0.4756
1975-04-29,0.4798
1975-04-30,0.4855
1975-05-01,0.496
1975-05-02,0.5
1975-05-05,0.5005
1975-05-06,0.519
1975-05-07,0.5032
1975-05-08,0.5143
1975-05-09,0.516
1975-05-12,0.514
1975-05-13,0.5025
1975-05-14,0.5075
1975-05-15,0.5078
1975-05-16,0.5195
1975-05-19,0.525
1975-05-20,0.5238
1975-05-21,0.532
1975-05-22,0.545
1975-05-23,0.5465
1975-05-27,0.546
1975-05-28,0.5325
1975-05-29,0.535
1975-05-30,0.5411
1975-06-02,0.54
1975-06-03,0.547
1975-06-04,0.558
1975-06-05,0.561
1975-06-06,0.5725
1975-06-09,0.5903
1975-06-10,0.5845
1975-06-11,0.5915
1975-06-12,0.585
1975-06-13,0.5945
1975-06-16,0.5958
1975-06-17,0.5758
1975-06-18,0.5645
1975-06-19,0.5575
1975-06-20,0.5545
1975-06-23,0.5345
1975-06-24,0.5208
1975-06-25,0.5376
1975-06-26,0.5331
1975-06-27,0.5436
1975-06-30,0.548
1975-07-01,0.5443
1975-07-02,0.536
1975-07-03,0.5305
1975-07-07,0.5413
1975-07-08,0.5495
1975-07-09,0.5438
1975-07-10,0.5405
1975-07-11,0.5472
1975-07-14,0.5465
1975-07-15,0.5448
1975-07-16,0.55
1975-07-17,0.57
1975-07-18,0.59
1975-07-21,0.61
1975-07-22,0.65
1975-07-23,0.69
1975-07-24,0.73
1975-07-25,0.77
1975-07-28,0.81
1975-07-29,0.8223
1975-07-30,0.8345
1975-07-31,0.8405
1975-08-01,0.849
1975-08-04,0.879
1975-08-05,0.854
1975-08-06,0.85
1975-08-07,0.8335
1975-08-08,0.848
1975-08-11,0.839
1975-08-12,0.836
1975-08-13,0.8375
1975-08-14,0.8435
1975-08-15,0.862
1975-08-18,0.8665
1975-08-19,0.8617
1975-08-20,0.86
1975-08-21,0.8437
1975-08-22,0.8385
1975-08-25,0.821
1975-08-26,0.8337
1975-08-27,0.8415
1975-08-28,0.8434
1975-08-29,0.8376
1975-09-02,0.823
1975-09-03,0.8015
1975-09-04,0.816
1975-09-05,0.8135
1975-09-08,0.7945
1975-09-09,0.797
1975-09-10,0.784
1975-09-11,0.785
1975-09-12,0.8051
1975-09-15,0.822
1975-09-16,0.8247
1975-09-17,0.8178
1975-09-18,0.822
1975-09-19,0.8335
1975-09-22,0.829
1975-09-23,0.8365
1975-09-24,0.829
1975-09-25,0.8248
1975-09-26,0.8215
1975-09-29,0.816
1975-09-30,0.8093
1975-10-01,0.809
1975-10-02,0.811
1975-10-03,0.819
1975-10-06,0.8215
1975-10-07,0.8115
1975-10-08,0.8
1975-10-09,0.81
1975-10-10,0.8125
1975-10-14,0.81
1975-10-15,0.805
1975-10-16,0.8137
1975-10-17,0.8187
1975-10-20,0.8122
1975-10-21,0.8095
1975-10-22,0.8035
1975-10-23,0.8055
1975-10-24,0.802
1975-10-27,0.8075
1975-10-28,0.808
1975-10-29,0.8119
1975-10-30,0.8083
1975-10-31,0.801
1975-11-03,0.791
1975-11-05,0.7765
1975-11-06,0.7737
1975-11-07,0.773
1975-11-10,0.7715
1975-11-12,0.757
1975-11-13,0.7582
1975-11-14,0.767
1975-11-17,0.7665
1975-11-18,0.7753
1975-11-19,0.7685
1975-11-20,0.7825
1975-11-24,0.7775
1975-11-25,0.777
1975-11-26,0.7802
1975-11-28,0.8012
1975-12-01,0.7935
1975-12-02,0.7965
1975-12-03,0.7968
1975-12-04,0.7948
1975-12-05,0.794
1975-12-08,0.81
1975-12-09,0.8088
1975-12-10,0.8235
1975-12-11,0.826
1975-12-12,0.8345
1975-12-15,0.8545
1975-12-16,0.8605
1975-12-17,0.8548
1975-12-18,0.8715
1975-12-19,0.8686
1975-12-22,0.879
1975-12-23,0.8775
